X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Test conducted in last 24 hours,X14,X15,Total test conducted,X17,X18,Positive cases in last 24 hours,X20,X21,Total cases,X23,X24,Success rate,X26
Date,Daily new cases,Total Cases,Daily new deaths,Total deaths,Death rate,New Tests,Total Tests,Overall SR,Daily SR,link,NA,IEDCR Lab,Other Lab,Total,IEDCR Lab,Other Lab,Total,IEDCR Lab,Other Lab,Total,IEDCR Lab,Other Lab,Total,Other Lab,IEDCR
08/03/2020,3,3,0,0,0,7,127,2.362204724,NA,https://www.prothomalo.com/bangladesh/article/1643736,https://www.iedcr.gov.bd/,7,0,7,127,0,127,NA,NA,NA,NA,NA,NA,NA,NA
09/03/2020,0,3,0,0,0,10,137,2.189781022,0,https://www.prothomalo.com/bangladesh/article/1643906,NA,10,0,10,137,0,137,NA,NA,NA,NA,NA,NA,NA,NA
10/03/2020,0,3,0,0,0.00,10,147,2.040816327,0,https://www.prothomalo.com/bangladesh/article/1644044/,NA,10,0,10,147,0,147,NA,NA,NA,NA,NA,NA,NA,NA
11/03/2020,0,3,0,0,0.00,16,163,1.840490798,0,https://www.prothomalo.com/bangladesh/article/1644245,NA,16,0,16,163,0,163,NA,NA,NA,NA,NA,NA,NA,NA
12/03/2020,0,3,0,0,0.00,24,187,1.604278075,0,NA,NA,24,0,24,187,0,187,NA,NA,NA,NA,NA,NA,NA,NA
13/03/2020,0,3,0,0,0.00,24,211,1.421800948,0,NA,NA,24,0,24,211,0,211,NA,NA,NA,NA,NA,NA,NA,NA
14/03/2020,0,3,0,0,0.00,30,241,1.244813278,0,https://www.prothomalo.com/bangladesh/article/1644887,NA,30,0,30,241,0,241,NA,NA,NA,NA,NA,NA,NA,NA
15/03/2020,2,5,0,0,0.00,27,268,1.865671642,7.407407407,https://www.prothomalo.com/bangladesh/article/1640328,NA,27,0,27,268,0,268,NA,NA,NA,NA,NA,NA,NA,NA
16/03/2020,3,8,0,0,0.00,25,293,2.730375427,12,https://www.prothomalo.com/bangladesh/article/1645134,NA,25,0,25,293,0,293,NA,NA,NA,NA,NA,NA,NA,NA
17/03/2020,2,10,0,0,0.00,49,342,2.923976608,4.081632653,https://www.prothomalo.com/bangladesh/article/1645316/,NA,49,0,49,342,0,342,NA,NA,NA,NA,NA,NA,NA,NA
18/03/2020,4,14,1,1,7.14,39,381,3.674540682,10.25641026,https://www.prothomalo.com/bangladesh/article/1645525,NA,39,0,39,381,0,381,NA,NA,NA,NA,NA,NA,NA,NA
19/03/2020,3,17,0,1,5.88,46,427,3.981264637,6.52173913,NA,NA,46,0,46,427,0,427,NA,NA,NA,NA,NA,NA,NA,NA
20/03/2020,3,20,0,1,5.00,36,463,4.319654428,8.333333333,NA,NA,36,0,36,463,0,463,NA,NA,NA,NA,NA,NA,NA,NA
21/03/2020,4,24,1,2,8.33,36,499,4.809619238,11.11111111,NA,NA,36,0,36,499,0,499,NA,NA,NA,NA,NA,NA,NA,NA
22/03/2020,3,27,0,2,7.41,65,564,4.787234043,4.615384615,https://www.prothomalo.com/bangladesh/article/1646318,NA,65,0,65,564,0,564,NA,NA,NA,NA,NA,NA,NA,NA
23/03/2020,6,33,1,3,9.09,56,620,5.322580645,10.71428571,https://www.prothomalo.com/bangladesh/article/1646517,NA,56,0,56,620,0,620,NA,NA,NA,NA,NA,NA,NA,NA
24/03/2020,6,39,1,4,10.26,92,712,5.47752809,6.52173913,NA,NA,92,0,92,712,0,712,NA,NA,NA,NA,NA,NA,NA,NA
25/03/2020,0,39,1,5,12.82,82,794,4.911838791,0,https://www.prothomalo.com/bangladesh/article/1646857/,NA,82,0,82,794,0,794,NA,NA,NA,NA,NA,NA,NA,NA
26/03/2020,5,44,0,5,11.36,126,920,4.782608696,3.968253968,https://www.prothomalo.com/bangladesh/article/1647083/,NA,126,0,126,920,0,920,NA,NA,NA,NA,NA,NA,NA,NA
27/03/2020,4,48,0,5,10.42,106,1026,4.678362573,3.773584906,https://www.prothomalo.com/bangladesh/article/1647195/,NA,106,0,106,1026,0,1026,NA,NA,NA,NA,NA,NA,NA,NA
28/03/2020,0,48,0,5,10.42,50,1076,4.460966543,0,https://www.prothomalo.com/bangladesh/article/1647434,NA,50,0,50,1076,0,1076,NA,NA,NA,NA,NA,NA,NA,NA
29/03/2020,0,48,0,5,10.42,109,1185,4.050632911,0,https://www.prothomalo.com/bangladesh/article/1647619,NA,109,0,109,1185,0,1185,NA,NA,NA,NA,NA,NA,NA,NA
30/03/2020,1,49,0,5,10.20,153,1338,3.662182362,0.6535947712,https://www.prothomalo.com/bangladesh/article/1647796,NA,153,0,153,1338,0,1338,NA,NA,NA,NA,NA,NA,NA,NA
31/03/2020,2,51,0,5,9.80,264,1602,3.183520599,0.7575757576,https://www.banglatribune.com/national/news/616356/,NA,264,0,264,1602,0,1602,NA,NA,NA,NA,NA,NA,NA,NA
01/04/2020,3,54,1,6,11.11,157,1759,3.069926094,1.910828025,https://www.prothomalo.com/bangladesh/article/1648150,NA,157,0,157,1759,0,1759,NA,NA,NA,NA,NA,NA,NA,NA
02/04/2020,2,56,0,6,10.71,147,1906,2.938090241,1.360544218,https://www.prothomalo.com/bangladesh/article/1648329/,NA,147,NA,147,1906,0,1906,NA,NA,NA,NA,NA,NA,NA,NA
03/04/2020,5,61,0,6,9.84,207,2113,2.886890677,2.415458937,https://www.prothomalo.com/bangladesh/article/1648535,NA,207,NA,207,2113,0,2113,NA,NA,NA,NA,NA,NA,NA,NA
04/04/2020,9,70,2,8,11.43,434,2547,2.74833137,2.073732719,https://www.prothomalo.com/bangladesh/article/1648695,NA,434,NA,434,2547,0,2547,NA,NA,NA,NA,NA,NA,NA,NA
05/04/2020,18,88,1,9,10.23,367,2914,3.019903912,4.904632153,https://www.banglatribune.com/national/news/617089,NA,367,NA,367,2914,0,2914,NA,NA,NA,NA,NA,NA,NA,NA
06/04/2020,35,123,3,12,9.76,468,3610,3.407202216,7.478632479,https://www.prothomalo.com/bangladesh/article/1649085/,NA,138,330,468,3610,0,3610,15,20,35,93,30,123,NA,NA
07/04/2020,41,164,5,17,10.37,679,4402,3.725579282,6.038291605,https://www.prothomalo.com/bangladesh/article/1649331,NA,157,522,679,4402,0,4402,30,11,41,123,41,164,NA,NA
08/04/2020,54,218,3,20,9.17,981,5383,4.049786364,5.504587156,https://www.prothomalo.com/bangladesh/article/1649492/,NA,981,NA,981,5383,0,5383,31,23,54,154,64,218,NA,NA
09/04/2020,112,330,1,21,6.36,1097,6480,5.092592593,10.20966272,https://www.prothomalo.com/bangladesh/article/1649711,NA,1097,NA,1097,6480,0,6480,NA,NA,NA,NA,NA,NA,NA,NA
10/04/2020,94,424,6,27,6.37,1184,7664,5.532359081,7.939189189,https://www.prothomalo.com/bangladesh/article/1649921,NA,196,988,1184,7664,0,7664,53,41,94,252,172,424,NA,NA
11/04/2020,58,482,3,30,6.22,649,8313,5.79814748,8.936825886,https://www.prothomalo.com/bangladesh/article/1650101,NA,649,NA,649,3175,5022,8197,NA,NA,NA,NA,NA,NA,NA,NA
12/04/2020,139,621,4,34,5.48,1340,9653,6.433233192,10.37313433,https://www.prothomalo.com/bangladesh/article/1650300,NA,209,1131,1340,3384,6153,9537,44,95,139,316,305,621,4.956931578,9.338061466
13/04/2020,182,803,5,39,4.86,1570,11223,7.154949657,11.59235669,https://www.prothomalo.com/bangladesh/article/1650547/,NA,362,1208,1570,3746,7361,11107,57,125,182,373,430,803,5.841597609,9.957287774
14/04/2020,209,1012,7,46,4.55,1905,13128,7.708714199,10.97112861,https://www.prothomalo.com/bangladesh/article/1650773,NA,317,1588,1905,4063,8949,13012,52,157,209,425,587,1012,6.559392111,10.46025105
15/04/2020,219,1231,4,50,4.06,1740,14868,8.2795265,12.5862069,https://www.prothomalo.com/bangladesh/article/1650937,NA,349,1391,1740,4412,10340,14752,82,137,219,507,724,1231,7.001934236,11.49138713
16/04/2020,341,1572,10,60,3.82,2135,17003,9.245427278,15.97189696,https://www.prothomalo.com/bangladesh/article/1651151,NA,374,1761,2135,4786,12101,16887,99,242,341,606,966,1572,7.982811338,12.66193063
17/04/2020,266,1838,15,75,4.08,2190,19193,9.576408065,12.14611872,https://www.prothomalo.com/bangladesh/article/1651410,NA,440,1750,2190,5226,13851,19077,75,191,266,681,1157,1838,8.353187495,13.03099885
18/04/2020,306,2144,9,84,3.92,2114,21307,10.0624208,14.47492904,https://www.prothomalo.com/bangladesh/article/1651614,NA,402,1712,2114,5628,15563,21191,52,254,306,733,1411,2144,9.066375377,13.02416489
19/04/2020,312,2456,7,91,3.71,2634,23941,10.25855227,11.84510251,NA,NA,462,2172,2634,6090,17735,23825,83,229,312,816,1640,2456,9.247251198,13.39901478
